Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x67672f47dba2265684e1dc1e5e38211eff352cd0b9980972c5192cf68e0e4b80","Success","Transfer","22047283","2025-03-14 19:43:59","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","0xBe04d2a2e49151BdeaF24C4254BAFc47DF08E6e9","","177,559.91004559","$0.00","MXCToken (MXC)"
"0x3ce693cc8e1e52b916bbe70a84e44bb2fb74981c8ea8e4ebc09c3563b38a81eb","Success","Swap","22047281","2025-03-14 19:43:35","0x0F4A1D7FdF4890bE35e71f3E0Bbc4a0EC377eca3","","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","177,559.91004559","$0.00","MXCToken (MXC)"
"0x3ce693cc8e1e52b916bbe70a84e44bb2fb74981c8ea8e4ebc09c3563b38a81eb","Success","Swap","22047281","2025-03-14 19:43:35","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","0x0F4A1D7FdF4890bE35e71f3E0Bbc4a0EC377eca3","","400","$400.00","Tether USD (USDT)"
"0xb5bb5011a875ca30dcb6f1557040df332fc3cbedbfa699f56c6aa26c25e76dac","Success","Unoswap2","22046463","2025-03-14 16:59:35","0xc7bBeC68d12a0d1830360F8Ec58fA599bA1b0e9b","Uniswap V3: USDT 9","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","482.51312","$482.51","Tether USD (USDT)"
"0xb5bb5011a875ca30dcb6f1557040df332fc3cbedbfa699f56c6aa26c25e76dac","Success","Unoswap2","22046463","2025-03-14 16:59:35","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","0xec2D2240D02A8cf63C3fA0B7d2C5a3169a319496","Uniswap V2: REP","498.83156","$520.97","Reputation (REP)"
"0xf965ca85158d1aa188cf9698d0d2bb30360cfbb375dcd56c028a120af89ccee5","Success","Transfer","22046461","2025-03-14 16:59:11","0x43984D578803891dfa9706bDEee6078D80cFC79E","Kraken 11","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","498.83156","$520.97","Reputation (REP)"
"0xace7663450042f7d9fc3a95d71ee4e2171ce6d1137616d82fd1a3caa58d5d89c","Success","Transfer","22043322","2025-03-14 06:27:11","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","0x2E60867c42ad789ADc4Aa901Db9176Cb78D6da83","","12,967.57996381","$606.11","NCDToken (NCDT)"
"0xf0d5f312186a6ba1d33a52c284a275e8e2355ebd134c6c742661dfe1e936f442","Success","Swap","22043318","2025-03-14 06:26:23","0x0F4A1D7FdF4890bE35e71f3E0Bbc4a0EC377eca3","","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","12,967.57996381","$606.11","NCDToken (NCDT)"
"0xf0d5f312186a6ba1d33a52c284a275e8e2355ebd134c6c742661dfe1e936f442","Success","Swap","22043318","2025-03-14 06:26:23","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","0x0F4A1D7FdF4890bE35e71f3E0Bbc4a0EC377eca3","","600","$600.00","Tether USD (USDT)"
"0xfec76ed5f2b6c6cf2cb3cd2b44f40d4f8f48b43a74c157580e07ec5c7d688f15","Success","Transfer","22043286","2025-03-14 06:19:59","0xcf3420613dA042dAe37ECe73157a3032555753e0","0xb94FC0e2F922daBFDa11710dEC17AF194","0xBe04d2a2e49151BdeaF24C4254BAFc47DF08E6e9","","239.30485766","$249.93","Reputation (REP)"
